Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,1,0,JAMMU & KASHMIR,Rural,60-64,14843,7755,7088,12577,5829,6748,2266,1926,340,463,240,223,296,265,31,775,715,60,408,388,20,253,249,4,21,21,0,0,0,0,0,0,0,50,48,2,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,65-69,11222,5633,5589,9805,4493,5312,1417,1140,277,378,202,176,276,227,49,465,425,40,202,195,7,77,73,4,5,4,1,0,0,0,0,0,0,14,14,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,70-74,9603,5257,4346,8401,4332,4069,1202,925,277,313,183,130,176,154,22,395,354,41,201,152,49,95,71,24,15,8,7,0,0,0,0,0,0,7,3,4,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,75-79,4787,2524,2263,4026,1966,2060,761,558,203,175,91,84,92,87,5,235,186,49,155,117,38,76,57,19,13,9,4,0,0,0,0,0,0,15,11,4,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,80+,6878,3639,3239,6215,3124,3091,663,515,148,215,131,84,128,101,27,186,166,20,89,75,14,28,27,1,15,14,1,0,0,0,0,0,0,2,1,1,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,Age not stated,2205,1206,999,1503,777,726,702,429,273,235,134,101,133,81,52,123,79,44,118,73,45,57,32,25,23,18,5,0,0,0,0,0,0,13,12,1,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,0-6,17795,9532,8263,17795,9532,8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,7,2974,1571,1403,1012,521,491,1962,1050,912,30,16,14,1932,1034,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,8,3331,1734,1597,719,332,387,2612,1402,1210,30,16,14,2582,1386,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,9,2762,1524,1238,416,193,223,2346,1331,1015,18,9,9,2160,1221,939,168,101,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,10,3863,2052,1811,530,255,275,3333,1797,1536,26,11,15,2544,1380,1164,763,406,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,11,2587,1375,1212,242,124,118,2345,1251,1094,13,8,5,1138,641,497,1194,602,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,12,3869,2027,1842,426,205,221,3443,1822,1621,29,17,12,969,529,440,2249,1177,1072,196,99,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,13,3093,1570,1523,262,113,149,2831,1457,1374,18,9,9,384,211,173,1922,1004,918,507,233,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,14,3282,1683,1599,328,133,195,2954,1550,1404,17,9,8,235,132,103,1539,822,717,1163,587,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,15,3296,1685,1611,383,185,198,2913,1500,1413,21,9,12,159,86,73,1070,562,508,1376,703,673,287,140,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,16,3356,1686,1670,359,170,189,2997,1516,1481,32,18,14,123,69,54,784,405,379,1386,704,682,672,320,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,17,2692,1410,1282,294,123,171,2398,1287,1111,24,15,9,89,52,37,435,247,188,987,534,453,862,438,424,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,18,4098,2176,1922,626,266,360,3472,1910,1562,44,25,19,152,80,72,616,382,234,1365,743,622,849,458,391,444,220,224,0,0,0,2,2,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,19,2135,1141,994,292,119,173,1843,1022,821,16,7,9,75,49,26,273,148,125,655,380,275,435,241,194,383,194,189,0,0,0,5,3,2,0,0,0,1,0,1,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,20-24,12981,7059,5922,2580,986,1594,10401,6073,4328,167,78,89,384,250,134,1745,1020,725,3466,2036,1430,2214,1268,946,1752,1054,698,1,0,1,35,23,12,635,343,292,2,1,1,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,25-29,12010,6359,5651,3438,1184,2254,8572,5175,3397,210,103,107,343,199,144,1604,860,744,2821,1741,1080,2061,1328,733,842,540,302,2,2,0,20,13,7,668,388,280,1,1,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,30-34,10467,5734,4733,3694,1299,2395,6773,4435,2338,198,85,113,335,194,141,1356,719,637,2091,1405,686,1699,1235,464,512,384,128,0,0,0,21,21,0,560,392,168,1,0,1,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,35-39,10310,5536,4774,4334,1512,2822,5976,4024,1952,228,120,108,307,193,114,1454,816,638,1756,1278,478,1376,987,389,342,242,100,2,1,1,23,21,2,488,366,122,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,40-44,7084,4140,2944,3156,1200,1956,3928,2940,988,140,80,60,215,155,60,891,599,292,1139,905,234,997,763,234,184,143,41,4,4,0,13,12,1,345,279,66,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,45-49,5939,3246,2693,2966,998,1968,2973,2248,725,139,74,65,142,86,56,678,461,217,830,626,204,743,612,131,152,129,23,1,1,0,9,9,0,277,248,29,2,2,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,50-54,4267,2437,1830,2415,926,1489,1852,1511,341,101,59,42,119,91,28,412,303,109,488,406,82,487,425,62,84,81,3,1,0,1,2,2,0,157,143,14,1,1,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,55-59,3055,1581,1474,1968,721,1247,1087,860,227,104,48,56,79,56,23,252,191,61,245,200,45,261,226,35,38,37,1,0,0,0,4,4,0,104,98,6,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,60-64,2763,1409,1354,2087,849,1238,676,560,116,107,56,51,62,49,13,193,167,26,149,134,15,104,94,10,17,17,0,1,1,0,2,2,0,40,39,1,1,1,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,65-69,2070,1031,1039,1657,711,946,413,320,93,70,33,37,64,47,17,137,112,25,81,71,10,44,41,3,10,10,0,0,0,0,0,0,0,7,6,1,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,70-74,1705,915,790,1361,651,710,344,264,80,69,34,35,44,34,10,100,87,13,64,55,9,48,38,10,7,6,1,0,0,0,0,0,0,12,10,2,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,75-79,783,422,361,593,282,311,190,140,50,22,11,11,19,13,6,65,52,13,43,32,11,27,21,6,7,5,2,0,0,0,0,0,0,7,6,1,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,80+,1052,543,509,878,415,463,174,128,46,42,19,23,26,19,7,56,45,11,28,26,2,15,13,2,5,5,0,0,0,0,0,0,0,2,1,1,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Urban,Age not stated,520,298,222,328,168,160,192,130,62,75,48,27,25,12,13,21,16,5,32,21,11,28,24,4,6,5,1,0,0,0,0,0,0,5,4,1,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,0-6,203066,104729,98337,203066,104729,98337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,7,28870,14766,14104,5832,2765,3067,23038,12001,11037,136,80,56,22900,11921,10979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,8,35076,17929,17147,3366,1441,1925,31710,16488,15222,95,52,43,31610,16434,15176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,9,32739,16702,16037,1635,669,966,31104,16033,15071,43,18,25,30296,15625,14671,763,389,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,10,38307,19440,18867,1663,652,1011,36644,18788,17856,56,31,25,30905,15821,15084,5680,2935,2745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,11,31352,15972,15380,918,321,597,30434,15651,14783,48,26,22,17249,8701,8548,13137,6924,6213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,12,38209,19549,18660,1401,480,921,36808,19069,17739,58,28,30,12489,6337,6152,23617,12350,11267,642,352,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,13,32771,16282,16489,1074,296,778,31697,15986,15711,52,21,31,5390,2568,2822,22944,11743,11201,3309,1652,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,14,33657,17225,16432,1561,481,1080,32096,16744,15352,92,47,45,3342,1624,1718,18962,10031,8931,9700,5042,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,15,31186,15802,15384,1785,562,1223,29401,15240,14161,96,42,54,2013,1001,1012,12345,6474,5871,12881,6672,6209,2064,1051,1013,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,16,30105,15341,14764,1857,588,1269,28248,14753,13495,122,55,67,1731,839,892,8642,4510,4132,11950,6352,5598,5803,2997,2806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,17,26079,13710,12369,1570,483,1087,24509,13227,11282,126,58,68,1302,717,585,5899,3136,2763,8326,4598,3728,8855,4718,4137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,18,34158,18287,15871,3262,1079,2183,30896,17208,13688,236,110,126,1943,1065,878,7185,3855,3330,7945,4609,3336,9912,5618,4294,3616,1924,1692,5,2,3,48,22,26,0,0,0,6,3,3,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,19,22726,11655,11071,2184,566,1618,20542,11089,9453,195,75,120,1279,665,614,4548,2319,2229,4356,2372,1984,6291,3530,2761,3785,2078,1707,17,6,11,69,42,27,0,0,0,2,2,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,20-24,129788,65220,64568,18352,4817,13535,111436,60403,51033,1398,615,783,7783,4099,3684,27699,13647,14052,20812,10845,9967,30289,16959,13330,18627,11274,7353,100,37,63,720,504,216,3999,2418,1581,9,5,4,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,25-29,115477,57319,58158,24970,6294,18676,90507,51025,39482,1652,798,854,8682,4499,4183,29050,14071,14979,18095,9790,8305,20944,13300,7644,6896,4828,2068,134,68,66,757,595,162,4290,3073,1217,7,3,4,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,30-34,94713,47186,47527,29546,7716,21830,65167,39470,25697,1637,761,876,8557,4759,3798,24126,12127,11999,12370,7857,4513,13454,9902,3552,2142,1723,419,107,70,37,712,564,148,2057,1704,353,5,3,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,35-39,91369,44195,47174,36702,10249,26453,54667,33946,20721,1758,825,933,9757,5660,4097,22925,11788,11137,8579,6092,2487,9007,7340,1667,846,712,134,70,54,16,476,389,87,1245,1082,163,4,4,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,40-44,71368,35599,35769,31801,9093,22708,39567,26506,13061,1388,692,696,7544,4642,2902,16559,9390,7169,6266,4954,1312,6020,5276,744,543,481,62,58,43,15,427,344,83,761,683,78,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,45-49,67216,33431,33785,34149,9803,24346,33067,23628,9439,1377,712,665,6700,4263,2437,13499,8469,5030,5234,4476,758,4738,4315,423,453,408,45,63,53,10,325,288,37,674,642,32,4,2,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,50-54,51806,26844,24962,31999,11011,20988,19807,15833,3974,1048,576,472,4494,3312,1182,7288,5462,1826,3134,2844,290,2842,2708,134,248,239,9,30,24,6,219,187,32,504,481,23,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,55-59,41168,20505,20663,28845,10201,18644,12323,10304,2019,832,483,349,3365,2680,685,4119,3349,770,1743,1610,133,1684,1627,57,107,101,6,15,12,3,171,159,12,286,282,4,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,60-64,39445,20146,19299,30954,12695,18259,8491,7451,1040,832,533,299,2632,2249,383,2621,2344,277,1074,1030,44,1070,1047,23,56,52,4,3,2,1,60,53,7,143,141,2,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,65-69,27491,13447,14044,23059,9594,13465,4432,3853,579,545,345,200,1636,1422,214,1254,1121,133,501,482,19,414,407,7,11,9,2,3,1,2,25,24,1,43,42,1,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,70-74,22995,12114,10881,19770,9428,10342,3225,2686,539,478,318,160,1169,1041,128,858,733,125,346,304,42,263,210,53,56,33,23,6,6,0,16,13,3,33,28,5,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,75-79,11221,5924,5297,9372,4431,4941,1849,1493,356,233,160,73,611,540,71,530,428,102,227,186,41,174,125,49,46,31,15,1,1,0,6,6,0,21,16,5,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,80+,17222,8964,8258,15225,7304,7921,1997,1660,337,318,211,107,745,655,90,533,460,73,218,188,30,132,106,26,22,17,5,2,2,0,13,11,2,14,10,4,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Rural,Age not stated,3470,1883,1587,2703,1404,1299,767,479,288,189,136,53,198,112,86,173,94,79,90,54,36,78,54,24,28,18,10,1,1,0,3,3,0,6,6,0,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,0-6,12311,6501,5810,12311,6501,5810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,7,1984,1019,965,281,119,162,1703,900,803,4,2,2,1699,898,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,8,2135,1121,1014,195,90,105,1940,1031,909,8,4,4,1932,1027,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,9,2005,1048,957,117,53,64,1888,995,893,1,1,0,1792,946,846,95,48,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,10,2418,1285,1133,124,56,68,2294,1229,1065,3,1,2,1737,951,786,554,277,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,11,2041,1042,999,83,36,47,1958,1006,952,4,3,1,811,431,380,1142,572,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,12,2345,1211,1134,116,57,59,2229,1154,1075,4,2,2,500,276,224,1614,821,793,111,55,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,13,2143,1116,1027,79,36,43,2064,1080,984,1,0,1,223,136,87,1384,735,649,455,208,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,14,2092,1050,1042,90,42,48,2002,1008,994,1,0,1,121,81,40,943,503,440,936,423,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,15,2123,1152,971,106,53,53,2017,1099,918,10,4,6,81,54,27,616,374,242,1023,531,492,287,136,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,16,2112,1122,990,122,69,53,1990,1053,937,10,8,2,89,54,35,403,232,171,779,438,341,709,321,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,17,1945,1057,888,72,39,33,1873,1018,855,4,1,3,57,34,23,321,198,123,512,276,236,979,509,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,18,2558,1471,1087,208,122,86,2350,1349,1001,11,5,6,93,56,37,365,245,120,496,322,174,781,436,345,582,272,310,4,0,4,18,13,5,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,19,1837,1033,804,121,55,66,1716,978,738,13,6,7,67,39,28,241,152,89,329,203,126,460,263,197,588,298,290,0,0,0,18,17,1,0,0,0,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,20-24,10844,5856,4988,1006,402,604,9838,5454,4384,72,40,32,377,212,165,1626,896,730,1623,912,711,2266,1270,996,2639,1468,1171,27,13,14,126,101,25,1078,540,538,4,2,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,25-29,9656,4972,4684,1382,512,870,8274,4460,3814,90,40,50,408,206,202,1893,974,919,1561,854,707,1998,1108,890,1095,617,478,30,13,17,107,67,40,1089,580,509,3,1,2,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,30-34,8142,4246,3896,1517,495,1022,6625,3751,2874,82,31,51,383,205,178,1730,856,874,1293,735,558,1811,1066,745,479,309,170,28,8,20,85,46,39,733,494,239,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,35-39,7927,4196,3731,1826,593,1233,6101,3603,2498,120,57,63,577,309,268,1704,815,889,1060,639,421,1588,1045,543,319,222,97,33,16,17,92,64,28,607,435,172,1,1,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,40-44,6033,3500,2533,1456,479,977,4577,3021,1556,81,49,32,411,231,180,1226,638,588,870,596,274,1202,893,309,196,145,51,7,2,5,99,69,30,485,398,87,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,45-49,5107,2879,2228,1580,463,1117,3527,2416,1111,74,38,36,352,206,146,1031,575,456,605,421,184,830,647,183,184,153,31,17,11,6,67,50,17,365,313,52,2,2,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,50-54,3549,2144,1405,1307,446,861,2242,1698,544,70,41,29,257,159,98,621,424,197,427,328,99,490,422,68,90,76,14,10,8,2,48,32,16,229,208,21,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,55-59,2507,1428,1079,1161,389,772,1346,1039,307,49,24,25,192,126,66,378,268,110,253,203,50,289,256,33,36,31,5,6,3,3,33,24,9,110,104,6,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,60-64,1826,937,889,1114,382,732,712,555,157,39,17,22,136,88,48,203,152,51,105,86,19,148,138,10,7,6,1,2,2,0,14,11,3,58,55,3,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,65-69,1228,575,653,819,279,540,409,296,113,29,17,12,101,63,38,125,84,41,69,57,12,64,57,7,2,2,0,1,1,0,3,2,1,15,13,2,0,0,0,1991
C2508SC,2,0,HIMACHAL PRADESH,Urban,70-74,923,497,426,636,259,377,287,238,49,21,13,8,69,57,12,93,77,16,34,29,5,44,41,3,10,6,4,1,1,0,5,5,0,10,9,1,0,0,0,1991
