Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,22,0,CHHATTISGARH,Total,All ages,2418722,1213194,1205528,1149833,432342,717491,1268889,780852,488037,63964,28193,35771,481789,277579,204210,348310,203659,144651,175540,115646,59894,96692,73296,23396,58196,45814,12382,239,182,57,3183,2919,264,40897,33522,7375,79,42,37,1991
C2508SC,23,0,MADHYA PRADESH,Total,All ages,9155177,4804881,4350296,4817050,1985682,2831368,4338127,2819199,1518928,253058,123286,129772,1662958,977242,685716,1236081,815438,420643,603934,444669,159265,289715,224455,65260,177038,140168,36870,339,282,57,5368,4849,519,108999,88472,20527,637,338,299,1991
C2508SC,24,0,GUJARAT,Total,All ages,3592715,1866283,1726432,1442837,563500,879337,2149878,1302783,847095,19165,11303,7862,616197,346173,270024,606250,333428,272822,374543,243881,130662,265943,178839,87104,148008,100954,47054,661,533,128,28206,20126,8080,90365,67148,23217,540,398,142,1991
C2508SC,25,0,DAMAN & DIU,Total,All ages,4838,2498,2340,1299,499,800,3539,1999,1540,13,8,5,737,363,374,926,432,494,674,394,280,479,310,169,520,363,157,1,0,1,67,47,20,122,82,40,0,0,0,1991
C2508SC,26,0,DADRA & NAGAR HAVELI,Total,All ages,4104,2159,1945,1413,563,850,2691,1596,1095,11,3,8,521,269,252,647,333,314,457,259,198,580,387,193,246,168,78,0,0,0,77,60,17,152,117,35,0,0,0,1991
C2508SC,27,0,MAHARASHTRA,Total,All ages,9881656,5063062,4818594,3830068,1476737,2353331,6051588,3586325,2465263,126731,73107,53624,1779796,975098,804698,1589507,860288,729219,1001948,608807,393141,825963,546587,279376,416456,287592,128864,441,309,132,22613,19566,3047,288117,214959,73158,16,12,4,1991
C2508SC,28,0,ANDHRA PRADESH,Total,All ages,12339496,6228011,6111485,6660623,2828958,3831665,5678873,3399053,2279820,262418,144111,118307,1719573,928145,791428,1819082,1069445,749637,603929,378021,225908,678960,449335,229625,331013,228457,102556,3627,2804,823,51128,44079,7049,208648,154450,54198,495,206,289,1991
C2508SC,29,0,KARNATAKA,Total,All ages,8563930,4339745,4224185,4725975,1997503,2728472,3837955,2342242,1495713,92074,55439,36635,1201803,682954,518849,1095898,642728,453170,533761,331995,201766,513353,331828,181525,207012,145174,61838,4028,3182,846,31611,24710,6901,158413,124230,34183,2,2,0,1991
C2508SC,30,0,GOA,Total,All ages,23791,12047,11744,8739,3410,5329,15052,8637,6415,256,139,117,4097,2204,1893,4035,2216,1819,2694,1598,1096,1805,1147,658,1486,888,598,5,1,4,132,114,18,542,330,212,0,0,0,1991
C2508SC,32,0,KERALA,Total,All ages,3123941,1525114,1598827,842509,345901,496608,2281432,1179213,1102219,34063,16990,17073,493941,254877,239064,599573,325375,274198,647757,336720,311037,330860,160344,170516,91813,40519,51294,3065,865,2200,31324,19601,11723,48979,23881,25098,57,41,16,1991
