Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,0,0,INDIA,Total,45-49,7271189,3783144,3488045,4536033,1729984,2806049,2735156,2053160,681996,201918,128766,73152,672773,463396,209377,803093,583483,219610,426503,338551,87952,345445,288018,57427,117749,102416,15333,1072,767,305,14983,12192,2791,151275,135283,15992,345,288,57,1991
C2508SC,0,0,INDIA,Total,50-54,5531990,2990927,2541063,3722298,1551009,2171289,1809692,1439918,369774,145991,98652,47339,478492,353949,124543,523711,410931,112780,258537,217245,41292,227091,199946,27145,71020,64503,6517,682,527,155,12098,9601,2497,91840,84359,7481,230,205,25,1991
C2508SC,0,0,INDIA,Total,55-59,4177831,1994748,2183083,2992094,1053260,1938834,1185737,941488,244249,103024,66379,36645,368767,275365,93402,338209,268026,70183,150864,128355,22509,130925,117349,13576,37848,34895,2953,422,344,78,8658,7015,1643,46840,43602,3238,180,158,22,1991
C2508SC,0,0,INDIA,Total,60-64,4350089,2128695,2221394,3422553,1367516,2055037,927536,761179,166357,103408,68713,34695,328161,260705,67456,264877,222824,42053,98993,87151,11842,82935,76347,6588,20383,18932,1451,246,206,40,5176,4286,890,23223,21895,1328,134,120,14,1991
C2508SC,0,0,INDIA,Total,65-69,2947771,1389824,1557947,2360234,907870,1452364,587537,481954,105583,68028,44622,23406,241950,194983,46967,161401,136904,24497,54073,47903,6170,40512,37614,2898,9145,8461,684,105,90,15,2246,1840,406,10000,9474,526,77,63,14,1991
C2508SC,0,0,INDIA,Total,70-74,2179293,1129098,1050195,1789958,802819,987139,389335,326279,63056,50226,34427,15799,164038,139029,25009,107640,93004,14636,33069,28995,4074,22711,20669,2042,5420,4656,764,81,73,8,1054,855,199,5039,4516,523,57,55,2,1991
C2508SC,0,0,INDIA,Total,75-79,861740,429920,431820,689932,288955,400977,171808,140965,30843,19871,13294,6577,70735,59398,11337,46569,39322,7247,16980,14150,2830,11447,9697,1750,3096,2470,626,35,32,3,446,357,89,2598,2222,376,31,23,8,1991
C2508SC,0,0,INDIA,Total,80+,1101864,543453,558411,894433,381605,512828,207431,161848,45583,26908,17186,9722,83565,65700,17865,53272,43421,9851,21145,16989,4156,13421,11106,2315,4309,3433,876,44,37,7,477,388,89,4259,3559,700,31,29,2,1991
C2508SC,0,0,INDIA,Total,Age not stated,430439,233166,197273,245199,114928,130271,185240,118238,67002,76286,47199,29087,37357,22353,15004,31181,20007,11174,18656,12871,5785,11810,8483,3327,5354,3807,1547,43,29,14,413,332,81,4105,3139,966,35,18,17,1991
C2508SC,0,0,INDIA,Rural,All ages,133010878,68603342,64407536,77204612,32779457,44425155,55806266,35823885,19982381,2493732,1449980,1043752,19947886,11682453,8265433,16185972,10219460,5966512,8676752,6027459,2649293,5091691,3719609,1372082,2057325,1583456,473869,10490,6905,3585,159804,132730,27074,1178544,999132,179412,4070,2701,1369,1991
C2508SC,0,0,INDIA,Rural,0-6,23932402,12327050,11605352,23932402,12327050,11605352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,0,0,INDIA,Rural,7,3271514,1686195,1585319,1416872,676856,740016,1854642,1009339,845303,30822,17591,13231,1823543,991598,831945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,150,127,1991
C2508SC,0,0,INDIA,Rural,8,4609021,2404372,2204649,1603839,738490,865349,3005182,1665882,1339300,39745,22498,17247,2965174,1643240,1321934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,144,119,1991
C2508SC,0,0,INDIA,Rural,9,2929414,1514668,1414746,635693,270196,365497,2293721,1244472,1049249,18596,9923,8673,2136268,1157036,979232,138738,77457,61281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,56,63,1991
C2508SC,0,0,INDIA,Rural,10,4955019,2645636,2309383,1331889,573658,758231,3623130,2071978,1551152,43818,24364,19454,2765418,1564327,1201091,813729,483200,330529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,87,78,1991
C2508SC,0,0,INDIA,Rural,11,2333446,1238754,1094692,382454,145952,236502,1950992,1092802,858190,16286,8328,7958,963969,529691,434278,970669,554758,415911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,25,43,1991
C2508SC,0,0,INDIA,Rural,12,4272780,2297850,1974930,1065079,427903,637176,3207701,1869947,1337754,40672,21331,19341,1185691,666306,519385,1846683,1098052,748631,134519,84198,50321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,60,76,1991
C2508SC,0,0,INDIA,Rural,13,2564794,1335537,1229257,512190,178752,333438,2052604,1156785,895819,24538,11544,12994,439450,227245,212205,1259103,725377,533726,329423,192584,136839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,35,55,1991
C2508SC,0,0,INDIA,Rural,14,2908101,1548587,1359514,685066,250894,434172,2223035,1297693,925342,34065,16770,17295,384955,202492,182463,1063266,628085,435181,740677,450315,290362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,31,41,1991
C2508SC,0,0,INDIA,Rural,15,2937068,1650656,1286412,824762,348637,476125,2112306,1302019,810287,46725,25339,21386,319148,179591,139557,788405,485505,302900,750573,482698,267875,207400,128852,78548,0,0,0,0,0,0,0,0,0,0,0,0,55,34,21,1991
C2508SC,0,0,INDIA,Rural,16,2712196,1496740,1215456,782074,308757,473317,1930122,1187983,742139,47676,25211,22465,266560,149660,116900,597968,359344,238624,631060,411678,219382,386811,242062,144749,0,0,0,0,0,0,0,0,0,0,0,0,47,28,19,1991
C2508SC,0,0,INDIA,Rural,17,1667197,930783,736414,415418,155592,259826,1251779,775191,476588,31894,16967,14927,148989,84046,64943,334318,200678,133640,360462,235162,125300,376080,238324,137756,0,0,0,0,0,0,0,0,0,0,0,0,36,14,22,1991
C2508SC,0,0,INDIA,Rural,18,3519677,1964060,1555617,1222872,471592,751280,2296805,1492468,804337,80102,43821,36281,316264,186432,129832,645797,401752,244045,592680,407435,185245,440202,304472,135730,213220,141452,71768,429,284,145,8004,6746,1258,0,0,0,107,74,33,1991
C2508SC,0,0,INDIA,Rural,19,1488229,765694,722535,447599,136217,311382,1040630,629477,411153,35925,18091,17834,134320,70553,63767,268131,150573,117558,251199,158184,93015,195204,128011,67193,148057,97721,50336,382,242,140,7355,6070,1285,0,0,0,57,32,25,1991
C2508SC,0,0,INDIA,Rural,20-24,10719815,5408731,5311084,4424300,1398629,3025671,6295515,4010102,2285413,291730,149296,142434,903011,496675,406336,1670838,985802,685036,1424305,952149,472156,1023390,701897,321493,671760,486800,184960,2842,1840,1002,47185,39068,8117,259994,196260,63734,460,315,145,1991
C2508SC,0,0,INDIA,Rural,25-29,10252250,5047180,5205070,5038774,1629577,3409197,5213476,3417603,1795873,308091,163493,144598,900859,501640,399219,1398478,844288,554190,1077388,750744,326644,784714,565379,219335,389720,302937,86783,2425,1600,825,31291,25887,5404,320078,261334,58744,432,301,131,1991
C2508SC,0,0,INDIA,Rural,30-34,9100629,4502904,4597725,5182533,1788615,3393918,3918096,2714289,1203807,282738,155918,126820,822021,495466,326555,1048704,677330,371374,739505,550131,189374,537399,420567,116832,245746,205711,40035,1719,1094,625,19676,16181,3495,220223,191636,28587,365,255,110,1991
C2508SC,0,0,INDIA,Rural,35-39,8655248,4412234,4243014,5322019,2014474,3307545,3333229,2397760,935469,272107,161617,110490,852473,555821,296652,950114,652679,297435,558617,433062,125555,384344,315525,68819,154445,134548,19897,1030,681,349,13272,10962,2310,146500,132649,13851,327,216,111,1991
C2508SC,0,0,INDIA,Rural,40-44,6687322,3560153,3127169,4333523,1775088,2558435,2353799,1785065,568734,201680,128646,73034,644484,452129,192355,701509,519191,182318,368643,299932,68711,248944,213937,35007,88733,79602,9131,604,394,210,8582,7122,1460,90364,83912,6452,256,200,56,1991
C2508SC,0,0,INDIA,Rural,45-49,5719539,2948352,2771187,3827671,1487709,2339962,1891868,1460643,431225,161903,104680,57223,540553,384459,156094,575459,438553,136906,282617,234930,47687,196859,173945,22914,62841,57722,5119,440,286,154,7264,6188,1076,63706,59687,4019,226,193,33,1991
C2508SC,0,0,INDIA,Rural,50-54,4431803,2382823,2048980,3165063,1349688,1815375,1266740,1033135,233605,117760,81042,36718,385746,294196,91550,379646,310994,68652,171539,150269,21270,129411,119140,10271,37840,35708,2132,251,183,68,6352,5259,1093,38043,36205,1838,152,139,13,1991
